sequence_name,class,camera,frame,timestamp_ms,posture_label,has_posture_label,image_path,valid
fall-01,fall,cam0,1,0.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-001.png,True
fall-01,fall,cam0,2,33.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-002.png,True
fall-01,fall,cam0,3,66.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-003.png,True
fall-01,fall,cam0,4,100.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-004.png,True
fall-01,fall,cam0,5,133.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-005.png,True
fall-01,fall,cam0,6,166.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-006.png,True
fall-01,fall,cam0,7,200.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-007.png,True
fall-01,fall,cam0,8,233.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-008.png,True
fall-01,fall,cam0,9,266.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-009.png,True
fall-01,fall,cam0,10,300.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-010.png,True
fall-01,fall,cam0,11,333.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-011.png,True
fall-01,fall,cam0,12,367.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-012.png,True
fall-01,fall,cam0,13,400.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-013.png,True
fall-01,fall,cam0,14,433.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-014.png,True
fall-01,fall,cam0,15,467.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-015.png,True
fall-01,fall,cam0,16,500.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-016.png,True
fall-01,fall,cam0,17,533.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-017.png,True
fall-01,fall,cam0,18,567.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-018.png,True
fall-01,fall,cam0,19,600.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-019.png,True
fall-01,fall,cam0,20,634.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-020.png,True
fall-01,fall,cam0,21,667.0,-1.0,True,raw/RGB/fall/cam0/fall-01-cam0-rgb/fall-01-cam0-rgb-021.png,True
